"Id, Faculty",Program,Career,Year,Traject,Course
38,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Industriele microbiologie
39,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Inleiding tot het Bedrijfsbeheer I
40,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Moleculaire microbiologie
41,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Moleculaire technologie
42,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Molecular Phytopathology
43,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Plantaardige productiesystemen
44,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Plantenbiotechnologie
45,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Protein Engineering
46,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,"Proteinechemie, Functie en Structuur"
47,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechnologie/Agrobiotechnologie,Virology
48,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Bespreking geintegreerd practicum structuur en functie van eiwitten
49,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Biochemische ingenieurstechniek
50,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Cellulaire immunologie
51,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Industriele microbiologie
52,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Inleiding tot het Bedrijfsbeheer I
53,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Medische moleculaire microbiologie en parasitologie
54,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Moleculaire farmacologie
55,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Moleculaire technologie
56,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Protein Engineering
57,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,"Proteinechemie, Functie en Structuur"
58,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Toegepaste immunologie
59,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Medische biotechnologie,Virology
60,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Bespreking geintegreerd practicum structuur en functie van eiwitten
61,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Biochemische ingenieurstechniek
62,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Geintegreerd practicum biomoleculaire technologie
63,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Industriele microbiologie
64,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Inleiding tot het Bedrijfsbeheer I
65,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Moleculaire microbiologie
66,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Moleculaire technologie
67,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Plantenbiotechnologie
68,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Protein Engineering
69,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,"Proteinechemie, Functie en Structuur"
70,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Regulatie van cellulaire processen
71,Faculteit Wetenschappen,Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,MA,1,1 M Bio-ingenieur Cel- en genbiotechologie/Moleculaire biotechnologie,Virology
72,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Bespreking geintegreerd practicum structuur en functie van eiwitten
73,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Bio-NMR
74,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Biochemische ingenieurstechniek
